City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,khorinsk,52.1657,109.7726,-10.12,98,99,0.75,RU,2024-11-21 19:47:59
1,san patricio,28.017,-97.5169,22.97,15,0,1.92,US,2024-11-21 19:49:59
2,grytviken,-54.2811,-36.5092,6.86,74,74,6.03,GS,2024-11-21 19:50:30
3,haiku-pauwela,20.9219,-156.3051,24.03,76,75,6.26,US,2024-11-21 19:49:46
4,adamstown,-25.066,-130.1015,22.95,89,7,6.67,PN,2024-11-21 19:50:31
5,mount airy,36.4993,-80.6073,9.49,44,100,5.81,US,2024-11-21 19:52:27
6,fortuna,40.5982,-124.1573,14.4,99,75,2.06,US,2024-11-21 19:52:09
7,albany,42.6001,-73.9662,6.36,94,100,0.89,US,2024-11-21 19:46:23
8,mungwi,-10.1732,31.3694,19.49,80,67,0.67,ZM,2024-11-21 19:47:47
9,huarmey,-10.0681,-78.1522,21.4,75,100,4.59,PE,2024-11-21 19:51:35
10,tomatlan,19.9333,-105.25,31.53,55,9,3.82,MX,2024-11-21 19:52:28
11,happy valley-goose bay,53.3168,-60.3315,2.17,80,75,10.8,CA,2024-11-21 19:46:41
12,waitangi,-43.9535,-176.5597,12.12,91,47,3.58,NZ,2024-11-21 19:50:29
13,zilair,52.2332,57.4392,-8.94,93,44,1.53,RU,2024-11-21 19:52:28
14,nuevo san juan parangaricutiro,19.4,-102.1333,21.08,68,82,1.65,MX,2024-11-21 19:52:28
15,khandyga,62.6667,135.6,-23.12,100,100,0.92,RU,2024-11-21 19:51:42
16,georgetown,5.4112,100.3354,25.97,89,20,1.54,MY,2024-11-21 19:50:57
17,argostolion,38.1811,20.489,17.64,55,0,1.15,GR,2024-11-21 19:52:29
18,puerto natales,-51.7236,-72.4875,16.25,44,75,3.6,CL,2024-11-21 19:50:29
19,bamboo flat,11.7,92.7167,26.78,77,44,4.25,IN,2024-11-21 19:49:01
20,port-aux-francais,-49.35,70.2167,4.13,82,79,17.25,TF,2024-11-21 19:46:34
21,college,64.8569,-147.8028,-10.86,80,100,1.54,US,2024-11-21 19:50:49
22,aberystwyth,52.4155,-4.0829,4.63,57,100,12.09,GB,2024-11-21 19:52:29
23,labuan,5.2767,115.2417,27.2,83,20,0.51,MY,2024-11-21 19:52:29
24,nema,57.5067,50.5011,1.75,83,100,7.62,RU,2024-11-21 19:49:38
25,west island,-12.1568,96.8225,26.99,89,100,8.23,CC,2024-11-21 19:50:30
26,wailua homesteads,22.0669,-159.378,24.51,79,20,3.09,US,2024-11-21 19:50:30
27,san julian,21.0167,-102.1667,23.07,34,76,2.0,MX,2024-11-21 19:52:30
28,mykhaylivka,47.2724,35.2224,3.19,86,100,7.0,UA,2024-11-21 19:52:30
29,egilsstadir,65.2653,-14.3948,-2.05,93,75,7.2,IS,2024-11-21 19:49:30
30,izumi,34.4833,135.4333,14.86,77,0,3.09,JP,2024-11-21 19:52:31
31,aldan,58.6031,125.3894,-15.64,93,97,3.18,RU,2024-11-21 19:50:49
32,cao bang,22.6667,106.25,15.57,84,34,0.25,VN,2024-11-21 19:52:31
33,bouafle,6.9904,-5.7442,24.38,48,44,1.16,CI,2024-11-21 19:52:31
34,mvomero,-6.25,38.6667,23.78,95,34,1.17,TZ,2024-11-21 19:52:31
35,codrington,-38.2667,141.9667,15.61,55,98,4.31,AU,2024-11-21 19:51:51
36,touros,-5.1989,-35.4608,26.98,69,55,4.75,BR,2024-11-21 19:50:36
37,ushuaia,-54.8,-68.3,17.81,34,0,3.6,AR,2024-11-21 19:50:36
38,olbia,40.9214,9.4856,17.03,77,40,6.17,IT,2024-11-21 19:52:32
39,viqueque,-8.8673,126.3658,24.58,90,46,0.91,TL,2024-11-21 19:52:32
40,talnakh,69.4865,88.3972,-29.89,99,97,3.97,RU,2024-11-21 19:50:40
41,bredasdorp,-34.5322,20.0403,18.35,90,10,3.8,ZA,2024-11-21 19:46:47
