City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,63.05,45,75,11.5,CL,1732562033
1,emerald,-23.5333,148.1667,69.22,79,100,8.03,AU,1732562203
2,ust-nera,64.5667,143.2,-25.73,98,53,4.5,RU,1732562224
3,west island,-12.1568,96.8225,78.78,94,75,12.66,CC,1732562245
4,enewetak,11.3474,162.3373,82.56,83,92,18.3,MH,1732562016
5,longyearbyen,78.2186,15.6401,12.04,79,100,20.71,SJ,1732562288
6,valdivia,-39.8142,-73.2459,53.69,98,100,3.15,CL,1732562081
7,carnarvon,-24.8667,113.6333,68.94,67,2,25.88,AU,1732562293
8,yanchep,-31.55,115.6833,54.21,52,0,12.82,AU,1732562351
9,hawaiian paradise park,19.5933,-154.9731,76.89,84,20,1.01,US,1732562373
10,thompson,55.7435,-97.8558,10.56,79,100,8.05,CA,1732562224
11,udachny,66.4167,112.4,-4.97,96,100,25.7,RU,1732562415
12,kokopo,-4.352,152.2633,77.27,84,96,3.58,PG,1732562436
13,olonkinbyen,70.9221,-8.7187,25.99,61,100,15.7,SJ,1732562457
14,tsetserleg,47.475,101.4542,12.13,54,100,9.19,MN,1732562473
15,queenstown,-31.8976,26.8753,77.13,50,100,3.98,ZA,1732562373
16,yamada,39.4667,141.95,36.1,79,10,3.89,JP,1732562522
17,invercargill,-46.4,168.35,57.02,67,30,18.01,NZ,1732562543
18,upington,-28.4478,21.2561,84.58,10,3,10.36,ZA,1732562564
19,edinburgh of the seven seas,-37.0676,-12.3116,55.31,69,97,11.95,SH,1732562585
20,badger,64.8,-147.5333,19.98,89,100,4.61,US,1732562606
21,hamilton,39.1834,-84.5333,62.78,79,100,16.11,US,1732562461
22,sesheke,-17.4759,24.2968,69.98,72,7,4.16,ZM,1732562649
23,sur,22.5667,59.5289,76.59,69,0,5.3,OM,1732562670
24,tazovsky,67.4667,78.7,19.2,87,27,18.03,RU,1732562691
25,iqaluit,63.7506,-68.5145,2.93,71,75,11.5,CA,1732562713
26,altai,46.3722,96.2583,1.04,94,57,5.39,MN,1732562734
27,adamstown,-25.066,-130.1015,72.12,77,21,16.51,PN,1732562755
28,cabo san lucas,22.8909,-109.9124,83.75,43,40,4.61,MX,1732562518
29,dudinka,69.4058,86.1778,21.6,93,100,20.04,RU,1732562798
30,grytviken,-54.2811,-36.5092,37.06,80,100,5.91,GS,1732562819
31,port-aux-francais,-49.35,70.2167,40.08,95,100,33.84,TF,1732562840
32,bodo,67.28,14.405,37.44,93,75,14.97,NO,1732562862
33,tamandare,-8.7597,-35.1047,81.36,68,11,12.1,BR,1732562883
34,suoyarvi,62.0833,32.35,36.21,99,100,17.25,RU,1732562905
35,waitangi,-43.9535,-176.5597,58.82,91,21,5.99,NZ,1732562948
36,touros,-5.1989,-35.4608,82.89,60,90,12.59,BR,1732562969
37,margate,51.3813,1.3862,46.87,79,100,18.07,GB,1732562990
38,lhokseumawe,5.1801,97.1507,78.24,86,100,1.45,ID,1732563011
39,karratha,-20.7377,116.8463,80.11,55,95,13.78,AU,1732563033
40,san patricio,28.017,-97.5169,84.15,42,3,8.81,US,1732563054
41,flying fish cove,-10.4217,105.6791,81.45,78,100,3.69,CX,1732563075
42,villa gesell,-37.2639,-56.973,64.87,63,0,20.85,AR,1732562799
43,hermanus,-34.4187,19.2345,61.81,73,100,20.4,ZA,1732563139
44,salalah,17.0151,54.0924,78.89,73,20,3.44,OM,1732563160
45,ribeira grande,38.5167,-28.7,66.78,88,40,10.36,PT,1732563182
46,alofi,-19.0595,-169.9187,80.49,83,75,11.5,NU,1732563203
47,ternate,0.8,127.4,80.49,80,98,3.78,ID,1732563225
48,tommot,58.9564,126.2925,-11.94,100,94,1.23,RU,1732563246
49,kununurra,-15.7667,128.7333,78.78,94,65,0.0,AU,1732563267
50,benevento,41.2179,14.7464,52.34,61,93,2.01,IT,1732563289
51,christchurch,-43.5333,172.6333,56.95,88,100,9.22,NZ,1732563070
52,albany,42.6001,-73.9662,47.34,52,47,1.01,US,1732563203
53,zyrya,40.3661,50.2917,50.09,86,100,16.24,AZ,1732563352
54,heihe,50.2441,127.4902,27.18,96,100,13.22,CN,1732563374
55,itoman,26.1247,127.6694,75.58,78,75,8.05,JP,1732563395
56,college,64.8569,-147.8028,20.07,84,100,4.61,US,1732563416
57,stanley,54.868,-1.6985,42.82,80,0,17.27,GB,1732563276
58,sinabang,2.4803,96.3801,77.77,89,100,7.0,ID,1732563459
59,bethel,41.3712,-73.414,52.02,45,0,10.36,US,1732563480
60,felipe carrillo puerto,19.5833,-88.05,83.64,44,2,3.06,MX,1732563501
61,goiatuba,-18.0125,-49.3547,78.85,65,68,6.69,BR,1732563522
62,avarua,-21.2078,-159.775,77.05,83,100,3.44,CK,1732563543
63,nagqu,31.5,92.0,16.61,25,34,2.53,CN,1732563402
64,sorong,-0.8833,131.25,79.7,84,100,4.05,ID,1732563586
65,ilulissat,69.2167,-51.1,28.42,93,75,9.22,GL,1732563607
